restaurant_name,Number_of_Outlets,Average_Rating,Average_Votes
Spanish Delights,2,3.3,16.5
Special Chicken Biryani,2,0.0,0.5
Speedy Chow,3,3.47,207.67
Spice Route,2,3.5,159.5
SpiceKlub,2,4.3,1825.5
Spooky Sky,2,3.45,41.0
Sri Balaji,3,2.33,51.67
Standard Sweets,2,1.8,16.0
Starbucks,18,3.81,396.61
Stop My Starvation,2,4.3,104.5
Street Cafe,2,0.0,0.0
Street Foods by Punjab Grill,3,1.93,26.33
Subway,63,2.91,97.21
Sugar & Spice - Le Marche,4,2.9,87.75
Sumo Sushi,2,3.95,45.5
Super Cake Shop,4,2.05,5.0
Super Snacks,2,1.55,22.0
Suruchi,2,3.6,418.0
Sushiya Express,3,3.63,48.0
Swagath,5,3.62,363.8
Syall Kotian Da Dhaba,2,1.5,10.0
TGI Friday's,6,3.85,726.17
Taco Bell,3,3.87,275.0
Talaga Sampireun,3,4.9,1838.0
Tamura,2,3.4,91.0
Tandoori Junction,2,1.2,6.5
Tandoori Tadka,2,1.65,9.0
Taste of India,2,2.1,93.0
Tea Halt,3,2.87,39.33
Tea Trails,2,1.85,29.0
Tea Villa Cafe,4,3.92,1291.75
Teddy Boy,2,3.75,763.5
Texas Roadhouse,5,3.86,156.6
The Artful Baker,2,2.0,110.0
The Bake Studio,2,3.35,49.0
The Barbeque Company,2,4.0,434.5
The Beer Cafe,6,3.02,331.17
The Belgian Fries Company,2,1.85,16.0
The Big Chill Cakery,2,4.45,529.5
The Big Scoop,2,0.0,0.0
The Blue Tandoor,2,2.75,29.5
The Breakfast Club,2,4.0,251.0
The Cafe,2,4.35,295.0
The Cake Shop,2,1.65,22.0
The Chai Story,3,3.7,68.67
The Chaiwalas,3,0.97,3.0
The Chatter House,2,4.1,1068.0
The Cheesecake Factory,2,4.65,1505.0
The Chef,2,2.95,15.5
The China Town,2,1.7,13.5
The Chinese Hut,5,2.86,31.0
The Chocolate Room,2,3.5,107.0
The Coffee Bean & Tea Leaf,4,3.42,213.75
The Crab Shack,2,3.95,556.0
The Creamery,2,4.05,207.5
The Culinary Pitaara,2,3.5,51.0
The Diet Kitchen,6,3.75,52.33
The Dosa King,2,3.05,42.0
The Fisherman's Wharf,3,4.27,340.67
The Flying Saucer Cafe,2,4.1,1572.5
The Golden Dragon,3,2.83,101.33
The Great Kabab Factory,2,3.5,519.0
The Junkyard Cafe,2,3.85,882.5
The Kathis,4,3.0,61.75
The Kitchen,2,2.95,33.5
The Mad Teapot/The Wishing Chair,2,4.25,167.0
The Midnight Heroes,5,3.66,222.2
The Mirch Masala,2,3.1,14.5
The National,2,4.15,338.5
The Night Owl,2,1.4,26.0
The Pint Room,2,3.7,101.5
The Pirates Of China Town,2,1.6,8.5
The Roll Van,2,2.95,4.5
The Square Meal,2,0.0,0.5
The Tandoor,2,3.0,83.0
The Taste,2,3.05,5.5
The Yellow Chilli,7,3.67,218.0
Theos,2,3.8,264.5
Tibb's Frankie,7,2.84,37.14
Tikka Junction,3,3.43,50.0
Tikka Town,3,3.03,103.0
Timboo Cafe,2,4.2,106.5
Tipu Sultan,2,3.85,213.5
Town Hall,2,3.65,599.5
Tpot,7,0.97,6.14
True Blue,3,3.17,22.67
Truffles,2,3.95,4841.0
Twenty Four Seven,19,2.15,14.74
Twigly,2,4.55,235.5
Twisted Tacos,2,3.6,121.0
U Like,2,1.5,9.5
Underdoggs Sports Bar & Grill,2,4.35,173.0
Urban Dhaba,2,2.85,25.5
Urban Punjab,3,3.43,134.33
VadaPav 'n' Frankie,2,1.5,2.5
